prodcode,TermFromEMIS,class,bnf,substance,group
x12641541000033113,Venzip XL 150mg capsules (Milpharm Ltd),,,venlafaxine,antidepressant
x12390341000033114,Venlasov XL 150mg capsules (Sovereign Medical Ltd),,,venlafaxine,antidepressant
x12194541000033118,Vencarm XL 150mg capsules (Aspire Pharma Ltd),,,venlafaxine,antidepressant
x5889641000033110,Mentaven XL 150mg capsules (Arrow Generics Ltd),,,venlafaxine,antidepressant
x5574741000033114,Tonpular XL 150mg capsules (Wockhardt UK Ltd),,,venlafaxine,antidepressant
x5812641000033119,Venlablue XL 150mg capsules (Creo Pharma Ltd),,,venlafaxine,antidepressant
x5813141000033117,Alventa XL 150mg capsules (Consilient Health Ltd),,,venlafaxine,antidepressant
x5329041000033111,Ranfaxine XL 150mg capsules (Ranbaxy (UK) Ltd),,,venlafaxine,antidepressant
x6029641000033116,Venlaneo XL 150mg capsules (Kent Pharmaceuticals Ltd),,,venlafaxine,antidepressant
x5896441000033118,Depefex XL 150mg capsules (Chiesi Ltd),,,venlafaxine,antidepressant
x5234141000033115,Foraven XL 150mg capsules (Forum Products Ltd),,,venlafaxine,antidepressant
x4817341000033115,Rodomel XL 150mg capsules (Teva UK Ltd),,,venlafaxine,antidepressant
x4936741000033119,Venaxx XL 150mg capsules (Advanz Pharma),,,venlafaxine,antidepressant
x4957941000033115,Politid XL 150mg capsules (Actavis UK Ltd),,,venlafaxine,antidepressant
x4937141000033116,Vaxalin XL 150mg capsules (Ratiopharm UK Ltd),,,venlafaxine,antidepressant
x4897241000033112,Tardcaps XL 150mg capsules (IXL Pharma Ltd),,,venlafaxine,antidepressant
x4818541000033111,Trixat XL 150mg capsules (PLIVA Pharma Ltd),,,venlafaxine,antidepressant
x4824541000033112,Winfex XL 150mg capsules (Zentiva),,,venlafaxine,antidepressant
x4817641000033111,Tifaxin XL 150mg capsules (Genus Pharmaceuticals Ltd),,,venlafaxine,antidepressant
x4899641000033119,Vensir XL 150mg capsules (Morningside Healthcare Ltd),,,venlafaxine,antidepressant
x4896741000033115,Vexarin XL 150mg capsules (Mylan),,,venlafaxine,antidepressant
x1509241000033110,Venlafaxine 150mg modified-release capsules,,,venlafaxine,antidepressant
x498541000033113,Efexor XL 150mg capsules (Pfizer Ltd),,,venlafaxine,antidepressant
x489741000033113,Dutonin 100mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),,,nefazodone,antidepressant
x966141000033116,Nefazodone 100mg tablets,,,nefazodone,antidepressant
x966241000033111,Nefazodone 200mg tablets,,,nefazodone,antidepressant
x489841000033115,Dutonin 200mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),,,nefazodone,antidepressant
x259141000033116,Cipramil 20mg tablets (Lundbeck Ltd),,,citalopram,antidepressant
x259241000033111,Citalopram 20mg tablets,,,citalopram,antidepressant
x1583341000033118,Citalopram 10mg tablets,,,citalopram,antidepressant
x1583241000033111,Cipramil 10mg tablets (Lundbeck Ltd),,,citalopram,antidepressant
x1583041000033115,Cipramil 40mg tablets (Lundbeck Ltd),,,citalopram,antidepressant
x1583141000033116,Citalopram 40mg tablets,,,citalopram,antidepressant
x1900641000033112,Citalopram 40mg/ml oral drops sugar free,,,citalopram,antidepressant
x1900741000033115,Cipramil 40mg/ml drops (Lundbeck Ltd),,,citalopram,antidepressant
x496741000033118,Edronax 4mg tablets (Pfizer Ltd),,,reboxetine,antidepressant
x1165641000033115,Reboxetine 4mg tablets,,,reboxetine,antidepressant
x919641000033115,Mirtazapine 30mg tablets,,,mirtazapine,antidepressant
x1558041000033118,Zispin 30mg tablets (Organon Laboratories Ltd),,,mirtazapine,antidepressant
x372941000033118,Co-codamol 8mg/500mg tablets,,,codeine,other_opiates
x922541000033116,Migraleve Yellow tablets (McNeil Products Ltd),,,codeine,other_opiates
x4590641000033113,Co-codamol 8mg/500mg caplets (Vantage),,,codeine,other_opiates
x371041000033112,Co-codaprin 8mg/400mg dispersible tablets,,,codeine,other_opiates
x12347241000033113,Eroset 500mg/10mg tablets (M & A Pharmachem Ltd),,,codeine,other_opiates
x373141000033110,Co-dydramol 10mg/500mg tablets,,,codeine,other_opiates
x86841000033118,Aspav dispersible tablets (Actavis UK Ltd),,,papaveretum,other_opiates
x3849841000033110,Aspirin 500mg / Papaveretum 7.71mg dispersible tablets sugar free,,,papaveretum,other_opiates
x1588741000033112,Co-codamol 30mg/500mg effervescent powder sachets sugar free,,,codeine,other_opiates
x1621841000033112,Kapake Insts 30mg/500mg effervescent powder sachets (Galen Ltd),,,codeine,other_opiates
x1741241000033116,Kapake Insts 60mg/1000mg effervescent powder sachets (Galen Ltd),,,codeine,other_opiates
x12684741000033112,Emcozin 30mg/500mg tablets (M & A Pharmachem Ltd),,,codeine,other_opiates
x796641000033119,Kapake 30mg/500mg tablets (Galen Ltd),,,codeine,other_opiates
x2746141000033115,Zapain 30mg/500mg tablets (Advanz Pharma),,,codeine,other_opiates
x1363841000033114,Solpadol 30mg/500mg caplets (Sanofi),,,codeine,other_opiates
x370641000033114,Co-codamol 30mg/500mg tablets,,,codeine,other_opiates
x373041000033111,Co-codamol 8mg/500mg effervescent tablets,,,codeine,other_opiates
x1030141000033119,Paracodol 8mg/500mg effervescent tablets (Bayer Plc),,,codeine,other_opiates
x4432041000033115,Paracodol 8mg/500mg capsules (Bayer Plc),,,codeine,other_opiates
x294841000033118,Co-codamol 8mg/500mg capsules,,,codeine,other_opiates
x326141000033118,Co-codamol 30mg/500mg effervescent tablets,,,codeine,other_opiates
x1479741000033119,Tylex 30mg/500mg effervescent tablets (UCB Pharma Ltd),,,codeine,other_opiates
x1352541000033110,Solpadol 30mg/500mg effervescent tablets (Sanofi),,,codeine,other_opiates
x3057541000033118,Kapake 30mg/500mg effervescent tablets (Galen Ltd),,,codeine,other_opiates
x3331541000033110,Medocodene 30mg/500mg effervescent tablets (Mylan),,,codeine,other_opiates
x3334541000033113,Medocodene 30mg/500mg capsules (UCB Pharma Ltd),,,codeine,other_opiates
x1698041000033118,Solpadol 30mg/500mg capsules (Sanofi),,,codeine,other_opiates
x2745941000033112,Zapain 30mg/500mg capsules (Advanz Pharma),,,codeine,other_opiates
x1479641000033111,Tylex 30mg/500mg capsules (UCB Pharma Ltd),,,codeine,other_opiates
x1830841000033114,Kapake 30mg/500mg capsules (Galen Ltd),,,codeine,other_opiates
x295441000033117,Co-codamol 30mg/500mg capsules,,,codeine,other_opiates
x7859041000033111,Dypracet 20mg/500mg tablets (Auden McKenzie (Pharma Division) Ltd),,,codeine,other_opiates
x3180241000033119,Co-dydramol 20mg/500mg tablets,,,codeine,other_opiates
x1164541000033115,Remedeine tablets (Crescent Pharma Ltd),,,codeine,other_opiates
x7859141000033110,Dypracet 30mg/500mg tablets (Auden McKenzie (Pharma Division) Ltd),,,codeine,other_opiates
x1157541000033117,Remedeine Forte tablets (Crescent Pharma Ltd),,,codeine,other_opiates
x3180141000033114,Co-dydramol 30mg/500mg tablets,,,codeine,other_opiates
x9292941000033111,Solpadeine Max 12.8mg/500mg tablets (Omega Pharma Ltd),,,codeine,other_opiates
x2968841000033110,Panadol Ultra 12.8mg/500mg tablets (GlaxoSmithKline Consumer Healthcare),,,codeine,other_opiates
x5334541000033117,Co-codamol 12.8mg/500mg tablets,,,codeine,other_opiates
x933841000033114,Morphine sulfate 15mg suppositories,,,morphine,other_opiates
x934141000033117,Morphine sulfate 10mg suppositories,,,morphine,other_opiates
x934241000033112,Morphine sulfate 20mg suppositories,,,morphine,other_opiates
x934641000033110,Morphine hydrochloride 15mg suppositories,,,morphine,other_opiates
x933941000033118,Morphine sulfate 30mg suppositories,,,morphine,other_opiates
x6527441000033112,Prefibin 0.4mg sublingual tablets (Sandoz Ltd),,,buprenorphine,oat
x6527741000033117,Tephine 400microgram sublingual tablets (Sandoz Ltd),,,buprenorphine,oat
x10045741000033116,Gabup 0.4mg sublingual tablets (Martindale Pharmaceuticals Ltd),,,buprenorphine,oat
x174241000033111,Buprenorphine 400microgram sublingual tablets sugar free,,,buprenorphine,oat
x1428641000033115,Temgesic 400microgram sublingual tablets (Indivior UK Ltd),,,buprenorphine,oat
x1835541000033116,Subutex 0.4mg sublingual tablets (Indivior UK Ltd),,,buprenorphine,oat
x10045841000033114,Gabup 2mg sublingual tablets (Martindale Pharmaceuticals Ltd),,,buprenorphine,oat
x6527141000033116,Prefibin 2mg sublingual tablets (Sandoz Ltd),,,buprenorphine,oat
x1835641000033115,Subutex 2mg sublingual tablets (Indivior UK Ltd),,,buprenorphine,oat
x1835341000033111,Buprenorphine 2mg sublingual tablets sugar free,,,buprenorphine,oat
x6527241000033111,Prefibin 8mg sublingual tablets (Sandoz Ltd),,,buprenorphine,oat
x10046141000033110,Gabup 8mg sublingual tablets (Martindale Pharmaceuticals Ltd),,,buprenorphine,oat
x1835441000033117,Buprenorphine 8mg sublingual tablets sugar free,,,buprenorphine,oat
x1835741000033112,Subutex 8mg sublingual tablets (Indivior UK Ltd),,,buprenorphine,oat
x6527641000033114,Tephine 200microgram sublingual tablets (Sandoz Ltd),,,buprenorphine,oat
x1426141000033112,Temgesic 200microgram sublingual tablets (Indivior UK Ltd),,,buprenorphine,oat
x172641000033116,Buprenorphine 200microgram sublingual tablets sugar free,,,buprenorphine,oat
x371141000033111,Codeine 15mg tablets,,,codeine,other_opiates
x371241000033116,Codeine 30mg tablets,,,codeine,other_opiates
x371341000033114,Codeine 60mg tablets,,,codeine,other_opiates
x430541000033115,Dextromoramide 5mg tablets,,,dextromoramide,other_opiates
x1041341000033111,Palfium 5mg tablets (Roche Products Ltd),,,dextromoramide,other_opiates
x1041241000033118,Palfium 10mg tablets (Roche Products Ltd),,,dextromoramide,other_opiates
x430341000033110,Dextromoramide 10mg tablets,,,dextromoramide,other_opiates
x466241000033114,Diamorphine 10mg tablets,,,diamorphine,other_opiates
x446141000033110,Diamorphine 10mg powder for solution for injection ampoules,,,diamorphine,other_opiates
x446241000033115,Diamorphine 30mg powder for solution for injection ampoules,,,diamorphine,other_opiates
x446041000033111,Diamorphine 100mg powder for solution for injection ampoules,,,diamorphine,other_opiates
x448741000033110,Diamorphine 500mg powder for solution for injection ampoules,,,diamorphine,other_opiates
x468541000033110,Dihydrocodeine 30mg tablets,,,codeine,other_opiates
x468741000033119,Dihydrocodeine 60mg modified-release tablets,,,codeine,other_opiates
x433341000033115,DHC Continus 60mg tablets (Napp Pharmaceuticals Ltd),,,codeine,other_opiates
x433541000033110,DHC Continus 90mg tablets (Napp Pharmaceuticals Ltd),,,codeine,other_opiates
x469541000033115,Dihydrocodeine 90mg modified-release tablets,,,codeine,other_opiates
x469441000033116,Dihydrocodeine 120mg modified-release tablets,,,codeine,other_opiates
x433441000033114,DHC Continus 120mg tablets (Napp Pharmaceuticals Ltd),,,codeine,other_opiates
x433141000033118,DF 118 Forte 40mg tablets (Martindale Pharmaceuticals Ltd),,,codeine,other_opiates
x462841000033114,Dihydrocodeine 40mg tablets,,,codeine,other_opiates
x3179641000033116,Dipipanone 10mg / Cyclizine 30mg tablets,,,dipipanone,other_opiates
x470841000033115,Diconal tablets (Amdipharm Plc),,,dipipanone,other_opiates
x1080541000033116,Physeptone 5mg tablets (Martindale Pharmaceuticals Ltd),,,methadone,oat
x897141000033112,Methadone 5mg tablets,,,methadone,oat
x1044641000033117,Pentazocine 50mg capsules,,,pentazocine,other_opiates
x1068041000033114,Pentazocine 25mg tablets,,,pentazocine,other_opiates
x609341000033114,Fortral 25mg tablets (Zentiva),,,pentazocine,other_opiates
x607341000033118,Fortral 50mg suppositories (Sterwin Medicines),,,pentazocine,other_opiates
x1063141000033116,Pentazocine 50mg suppositories,,,pentazocine,other_opiates
x1065641000033110,Pethidine 50mg tablets,,,pethidine,other_opiates
x1454241000033114,Tramadol 50mg capsules,,,tramadol,other_opiates
x1454541000033111,Tramake 50mg capsules (Galen Ltd),,,tramadol,other_opiates
x1548041000033116,Zamadol 50mg capsules (Meda Pharmaceuticals Ltd),,,tramadol,other_opiates
x1564341000033117,Zydol 50mg capsules (Grunenthal Ltd),,,tramadol,other_opiates
x1564841000033114,Zydol 50mg soluble tablets (Grunenthal Ltd),,,tramadol,other_opiates
x1465741000033113,Tramadol 50mg soluble tablets sugar free,,,tramadol,other_opiates
x1702241000033118,Tramadol 50mg effervescent powder sachets sugar free,,,tramadol,other_opiates
x1702041000033114,Tramake Insts 50mg sachets (Galen Ltd),,,tramadol,other_opiates
x1701941000033115,Tramake Insts 100mg sachets (Galen Ltd),,,tramadol,other_opiates
x1702141000033113,Tramadol 100mg effervescent powder sachets sugar free,,,tramadol,other_opiates
x728641000033114,Hydromorphone 1.3mg capsules,,,hydromorphone,other_opiates
x1029141000033112,Palladone 1.3mg capsules (Napp Pharmaceuticals Ltd),,,hydromorphone,other_opiates
x1029241000033117,Palladone 2.6mg capsules (Napp Pharmaceuticals Ltd),,,hydromorphone,other_opiates
x728741000033117,Hydromorphone 2.6mg capsules,,,hydromorphone,other_opiates
x8537341000033111,Lynlor 5mg capsules (Actavis UK Ltd),,,oxycodone,other_opiates
x9061541000033116,Shortec 5mg capsules (Qdem Pharmaceuticals Ltd),,,oxycodone,other_opiates
x1987141000033116,Oxycodone 5mg capsules,,,oxycodone,other_opiates
x1988041000033116,OxyNorm 5mg capsules (Napp Pharmaceuticals Ltd),,,oxycodone,other_opiates
x9061641000033115,Shortec 10mg capsules (Qdem Pharmaceuticals Ltd),,,oxycodone,other_opiates
x8537441000033117,Lynlor 10mg capsules (Actavis UK Ltd),,,oxycodone,other_opiates
x1988141000033117,OxyNorm 10mg capsules (Napp Pharmaceuticals Ltd),,,oxycodone,other_opiates
x1987241000033111,Oxycodone 10mg capsules,,,oxycodone,other_opiates
x8537541000033116,Lynlor 20mg capsules (Actavis UK Ltd),,,oxycodone,other_opiates
x9061741000033112,Shortec 20mg capsules (Qdem Pharmaceuticals Ltd),,,oxycodone,other_opiates
x1987341000033118,Oxycodone 20mg capsules,,,oxycodone,other_opiates
x1988241000033112,OxyNorm 20mg capsules (Napp Pharmaceuticals Ltd),,,oxycodone,other_opiates
x1278541000033116,Sevredol 10mg tablets (Napp Pharmaceuticals Ltd),,,morphine,other_opiates
x936441000033115,Morphine 10mg tablets,,,morphine,other_opiates
x939541000033110,Morphine 20mg tablets,,,morphine,other_opiates
x1278641000033115,Sevredol 20mg tablets (Napp Pharmaceuticals Ltd),,,morphine,other_opiates
x1276641000033119,Sevredol 50mg tablets (Napp Pharmaceuticals Ltd),,,morphine,other_opiates
x938241000033117,Morphine 50mg tablets,,,morphine,other_opiates
x620641000033115,Gabapentin 100mg capsules,,,gabapentin,gabapentinoids
x958041000033112,Neurontin 100mg capsules (Pfizer Ltd),,,gabapentin,gabapentinoids
x958141000033111,Neurontin 300mg capsules (Pfizer Ltd),,,gabapentin,gabapentinoids
x620741000033112,Gabapentin 300mg capsules,,,gabapentin,gabapentinoids
x620841000033119,Gabapentin 400mg capsules,,,gabapentin,gabapentinoids
x958241000033116,Neurontin 400mg capsules (Pfizer Ltd),,,gabapentin,gabapentinoids
x2146141000033110,Neurontin 600mg tablets (Pfizer Ltd),,,gabapentin,gabapentinoids
x2145941000033118,Gabapentin 600mg tablets,,,gabapentin,gabapentinoids
x2146041000033111,Gabapentin 800mg tablets,,,gabapentin,gabapentinoids
x2146241000033115,Neurontin 800mg tablets (Pfizer Ltd),,,gabapentin,gabapentinoids
x458341000033112,Diazepam 2.5mg/1.25ml rectal solution tube,,,diazepam,benzodiazepine
x458041000033110,Diazepam 2.5mg RecTubes (Wockhardt UK Ltd),,,diazepam,benzodiazepine
x1383341000033115,Stesolid 5mg rectal tube (Accord Healthcare Ltd),,,diazepam,benzodiazepine
x458241000033119,Diazepam 5mg RecTubes (Wockhardt UK Ltd),,,diazepam,benzodiazepine
x458641000033116,Diazepam 5mg/2.5ml rectal solution tube,,,diazepam,benzodiazepine
x458541000033117,Diazepam 10mg/2.5ml rectal solution tube,,,diazepam,benzodiazepine
x1383241000033113,Stesolid 10mg rectal tube (Accord Healthcare Ltd),,,diazepam,benzodiazepine
x457941000033112,Diazepam 10mg RecTubes (Wockhardt UK Ltd),,,diazepam,benzodiazepine
x2228341000033113,Nurofen Plus tablets (Reckitt Benckiser Healthcare (UK) Ltd),,,codeine,other_opiates
x2968641000033114,Solpaflex tablets (GlaxoSmithKline Consumer Healthcare),,,codeine,other_opiates
x3077941000033110,Cuprofen PLUS tablets (SSL International Plc),,,codeine,other_opiates
x12708841000033116,Ibuprofen 200mg / Codeine 12.8mg tablets,,,codeine,other_opiates
x1603341000033112,Doxepin 5% cream,,,doxepin,antidepressant
x1712041000033111,Xepin 5% cream (Cambridge Healthcare Supplies Ltd),,,doxepin,antidepressant
x896341000033113,Meptazinol 200mg tablets,,,meptazinol,other_opiates
x896441000033119,Meptid 200mg tablets (Almirall Ltd),,,meptazinol,other_opiates
x878241000033110,Meptid 100mg/1ml solution for injection ampoules (Almirall Ltd),,,meptazinol,other_opiates
x878141000033115,Meptazinol 100mg/1ml solution for injection ampoules,,,meptazinol,other_opiates
x459341000033117,Diamorphine hydrochloride powder,,,diamorphine,other_opiates
x3964541000033113,Morphine sulfate 15mg/1ml solution for injection ampoules,,,morphine,other_opiates
x11603841000033119,Fluoxetine 10mg capsules,,,fluoxetine,antidepressant
x6496341000033116,Fluoxetine 10mg tablets,,,fluoxetine,antidepressant
x3256741000033118,Mirtazapine 15mg tablets,,,mirtazapine,antidepressant
x3029641000033112,Mirtazapine 15mg orodispersible tablets,,,mirtazapine,antidepressant
x3029841000033113,Zispin SolTab 15mg orodispersible tablets (Merck Sharp & Dohme Ltd),,,mirtazapine,antidepressant
x3078541000033115,Zispin SolTab 30mg orodispersible tablets (Merck Sharp & Dohme Ltd),,,mirtazapine,antidepressant
x2974841000033114,Mirtazapine 30mg orodispersible tablets,,,mirtazapine,antidepressant
x3256841000033111,Mirtazapine 45mg tablets,,,mirtazapine,antidepressant
x11707541000033118,Fluoxetine 40mg capsules,,,fluoxetine,antidepressant
x5748641000033110,Diazepam 2mg/5ml oral solution sugar free,,,diazepam,benzodiazepine
x2749641000033115,Cipralex 10mg tablets (Lundbeck Ltd),,,escitalopram,antidepressant
x2749541000033116,Escitalopram 10mg tablets,,,escitalopram,antidepressant
x2951341000033116,Escitalopram 20mg tablets,,,escitalopram,antidepressant
x2951441000033110,Cipralex 20mg tablets (Lundbeck Ltd),,,escitalopram,antidepressant
x3030341000033110,Escitalopram 5mg tablets,,,escitalopram,antidepressant
x3030541000033115,Cipralex 5mg tablets (Lundbeck Ltd),,,escitalopram,antidepressant
x2796341000033111,Neurontin 250mg/5ml oral solution (Imported (United States)),,,gabapentin,gabapentinoids
x2796241000033118,Gabapentin 250mg/5ml oral solution,,,gabapentin,gabapentinoids
x10220641000033113,Lecaent 100mg capsules (Actavis UK Ltd),,,pregabalin,gabapentinoids
x10254241000033116,Alzain 100mg capsules (Dr Reddy's Laboratories (UK) Ltd),,,pregabalin,gabapentinoids
x10206141000033110,Rewisca 100mg capsules (Consilient Health Ltd),,,pregabalin,gabapentinoids
x11822041000033119,Axalid 100mg capsules (Kent Pharmaceuticals Ltd),,,pregabalin,gabapentinoids
x3153641000033117,Pregabalin 100mg capsules,,,pregabalin,gabapentinoids
x3154341000033111,Lyrica 100mg capsules (Pfizer Ltd),,,pregabalin,gabapentinoids
x10206241000033115,Rewisca 150mg capsules (Consilient Health Ltd),,,pregabalin,gabapentinoids
x10254341000033114,Alzain 150mg capsules (Dr Reddy's Laboratories (UK) Ltd),,,pregabalin,gabapentinoids
x10220741000033116,Lecaent 150mg capsules (Actavis UK Ltd),,,pregabalin,gabapentinoids
x11822141000033115,Axalid 150mg capsules (Kent Pharmaceuticals Ltd),,,pregabalin,gabapentinoids
x3154441000033117,Lyrica 150mg capsules (Pfizer Ltd),,,pregabalin,gabapentinoids
x3153741000033114,Pregabalin 150mg capsules,,,pregabalin,gabapentinoids
x10220841000033114,Lecaent 200mg capsules (Actavis UK Ltd),,,pregabalin,gabapentinoids
x10254441000033115,Alzain 200mg capsules (Dr Reddy's Laboratories (UK) Ltd),,,pregabalin,gabapentinoids
x10206341000033113,Rewisca 200mg capsules (Consilient Health Ltd),,,pregabalin,gabapentinoids
x11822241000033110,Axalid 200mg capsules (Kent Pharmaceuticals Ltd),,,pregabalin,gabapentinoids
x3153841000033116,Pregabalin 200mg capsules,,,pregabalin,gabapentinoids
x3154541000033116,Lyrica 200mg capsules (Pfizer Ltd),,,pregabalin,gabapentinoids
x10205841000033114,Rewisca 25mg capsules (Consilient Health Ltd),,,pregabalin,gabapentinoids
x10220341000033117,Lecaent 25mg capsules (Actavis UK Ltd),,,pregabalin,gabapentinoids
x10253941000033110,Alzain 25mg capsules (Dr Reddy's Laboratories (UK) Ltd),,,pregabalin,gabapentinoids
x11821741000033110,Axalid 25mg capsules (Kent Pharmaceuticals Ltd),,,pregabalin,gabapentinoids
x3154041000033114,Lyrica 25mg capsules (Pfizer Ltd),,,pregabalin,gabapentinoids
x3153341000033113,Pregabalin 25mg capsules,,,pregabalin,gabapentinoids
x10254641000033118,Alzain 300mg capsules (Dr Reddy's Laboratories (UK) Ltd),,,pregabalin,gabapentinoids
x10221041000033111,Lecaent 300mg capsules (Actavis UK Ltd),,,pregabalin,gabapentinoids
x10206541000033118,Rewisca 300mg capsules (Consilient Health Ltd),,,pregabalin,gabapentinoids
x11822441000033111,Axalid 300mg capsules (Kent Pharmaceuticals Ltd),,,pregabalin,gabapentinoids
x3153941000033112,Pregabalin 300mg capsules,,,pregabalin,gabapentinoids
x3154641000033115,Lyrica 300mg capsules (Pfizer Ltd),,,pregabalin,gabapentinoids
x10205941000033118,Rewisca 50mg capsules (Consilient Health Ltd),,,pregabalin,gabapentinoids
x10220441000033111,Lecaent 50mg capsules (Actavis UK Ltd),,,pregabalin,gabapentinoids
x10254041000033112,Alzain 50mg capsules (Dr Reddy's Laboratories (UK) Ltd),,,pregabalin,gabapentinoids
x11821841000033117,Axalid 50mg capsules (Kent Pharmaceuticals Ltd),,,pregabalin,gabapentinoids
x3154141000033113,Lyrica 50mg capsules (Pfizer Ltd),,,pregabalin,gabapentinoids
x3153441000033119,Pregabalin 50mg capsules,,,pregabalin,gabapentinoids
x10254141000033111,Alzain 75mg capsules (Dr Reddy's Laboratories (UK) Ltd),,,pregabalin,gabapentinoids
x10220541000033112,Lecaent 75mg capsules (Actavis UK Ltd),,,pregabalin,gabapentinoids
x10206041000033111,Rewisca 75mg capsules (Consilient Health Ltd),,,pregabalin,gabapentinoids
x11821941000033113,Axalid 75mg capsules (Kent Pharmaceuticals Ltd),,,pregabalin,gabapentinoids
x3153541000033118,Pregabalin 75mg capsules,,,pregabalin,gabapentinoids
x3154241000033118,Lyrica 75mg capsules (Pfizer Ltd),,,pregabalin,gabapentinoids
x10701941000033111,Duciltia 60mg gastro-resistant capsules (Aristo Pharma Ltd),,,duloxetine,antidepressant
x12476041000033112,Depalta 60mg gastro-resistant capsules (Disposable Medical Equipment Ltd),,,duloxetine,antidepressant
x3226741000033119,Duloxetine 60mg gastro-resistant capsules,,,duloxetine,antidepressant
x3226941000033116,Cymbalta 60mg gastro-resistant capsules (Eli Lilly and Company Ltd),,,duloxetine,antidepressant
x10701841000033115,Duciltia 30mg gastro-resistant capsules (Aristo Pharma Ltd),,,duloxetine,antidepressant
x12475941000033119,Depalta 30mg gastro-resistant capsules (Disposable Medical Equipment Ltd),,,duloxetine,antidepressant
x3226641000033111,Duloxetine 30mg gastro-resistant capsules,,,duloxetine,antidepressant
x3226841000033112,Cymbalta 30mg gastro-resistant capsules (Eli Lilly and Company Ltd),,,duloxetine,antidepressant
x4079041000033115,Paroxetine 10mg tablets,,,paroxetine,antidepressant
x4079141000033116,Seroxat 10mg tablets (GlaxoSmithKline UK Ltd),,,paroxetine,antidepressant
x10206441000033119,Rewisca 225mg capsules (Consilient Health Ltd),,,pregabalin,gabapentinoids
x10220941000033118,Lecaent 225mg capsules (Actavis UK Ltd),,,pregabalin,gabapentinoids
x10254541000033119,Alzain 225mg capsules (Dr Reddy's Laboratories (UK) Ltd),,,pregabalin,gabapentinoids
x11822341000033117,Axalid 225mg capsules (Kent Pharmaceuticals Ltd),,,pregabalin,gabapentinoids
x4387641000033111,Pregabalin 225mg capsules,,,pregabalin,gabapentinoids
x4387741000033119,Lyrica 225mg capsules (Pfizer Ltd),,,pregabalin,gabapentinoids
x4425741000033111,Ionsys 40micrograms/dose transdermal system (The Medicines Company UK Ltd),,,fentanyl,other_opiates
x11469241000033116,Fentanyl 40micrograms/dose transdermal system,,,fentanyl,other_opiates
x11755441000033119,Paroxetine 40mg tablets,,,paroxetine,antidepressant
x3979041000033112,Diazepam 25mg/5ml oral solution,,,diazepam,benzodiazepine
x6132341000033112,Palexia 75mg tablets (Grunenthal Ltd),,,tapentadol,other_opiates
x6132141000033114,Tapentadol 75mg tablets,,,tapentadol,other_opiates
x6132241000033119,Palexia 50mg tablets (Grunenthal Ltd),,,tapentadol,other_opiates
x6132041000033110,Tapentadol 50mg tablets,,,tapentadol,other_opiates
x625141000033115,Galcodine 3mg/5ml linctus paediatric (Thornton & Ross Ltd),,,codeine,other_opiates
x931741000033115,Morphine sulfate 10mg/5ml oral solution unit dose vials sugar free,,,morphine,other_opiates
x1014441000033110,Oramorph 10mg/5ml oral solution unit dose vials (Boehringer Ingelheim Ltd),,,morphine,other_opiates
x916741000033116,Migraleve Pink tablets (McNeil Products Ltd),,,codeine,other_opiates
x931841000033113,Morphine sulfate 100mg/5ml oral solution unit dose vials sugar free,,,morphine,other_opiates
x1014541000033111,Oramorph 100mg/5ml oral solution unit dose vials (Boehringer Ingelheim Ltd),,,morphine,other_opiates
x1014641000033112,Oramorph 30mg/5ml oral solution unit dose vials (Boehringer Ingelheim Ltd),,,morphine,other_opiates
x931941000033117,Morphine sulfate 30mg/5ml oral solution unit dose vials sugar free,,,morphine,other_opiates
x2875341000033110,Co-codamol 15mg/500mg tablets,,,codeine,other_opiates
x2850041000033116,Codipar 15mg/500mg tablets (Advanz Pharma),,,codeine,other_opiates
x6137941000033114,Kapake 15mg/500mg tablets (Galen Ltd),,,codeine,other_opiates
x390441000033115,Cyclimorph 10 solution for injection 1ml ampoules (Advanz Pharma),,,morphine,other_opiates
x3840141000033112,Morphine tartrate 10mg/1ml / Cyclizine tartrate 50mg/1ml solution for injection ampoules,,,morphine,other_opiates
x3840041000033113,Morphine tartrate 15mg/1ml / Cyclizine tartrate 50mg/1ml solution for injection ampoules,,,morphine,other_opiates
x390541000033119,Cyclimorph 15 solution for injection 1ml ampoules (Advanz Pharma),,,morphine,other_opiates
x929541000033113,Molipaxin 50mg/5ml oral liquid (Sanofi),,,trazodone,antidepressant
x1461941000033113,Trazodone 50mg/5ml oral solution sugar free,,,trazodone,antidepressant
x1034841000033117,Pamergan P100 solution for injection 2ml ampoules (Martindale Pharmaceuticals Ltd),,,pethidine,other_opiates
x930041000033110,Morphine 100mg modified-release granules sachets sugar free,,,morphine,other_opiates
x940141000033110,MST Continus Suspension 100mg granules sachets (Napp Pharmaceuticals Ltd),,,morphine,other_opiates
x940241000033115,MST Continus Suspension 200mg granules sachets (Napp Pharmaceuticals Ltd),,,morphine,other_opiates
x930141000033114,Morphine 200mg modified-release granules sachets sugar free,,,morphine,other_opiates
x930241000033119,Morphine 60mg modified-release granules sachets sugar free,,,morphine,other_opiates
x940341000033113,MST Continus Suspension 60mg granules sachets (Napp Pharmaceuticals Ltd),,,morphine,other_opiates
x2092941000033111,Methadone hydrochloride powder,,,methadone,oat
x940741000033114,MST Continus Suspension 20mg granules sachets (Napp Pharmaceuticals Ltd),,,morphine,other_opiates
